Barcode,Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
,OVNS Max 3K 2mL Peach Mango CTN6,OVNS Max 3K 2mL Peach Mango - carton of 6,85.50,125.94,13.00,VAPE & CIGAR
,OVNS Max 3K 2mL Straw Peach Mint,OVNS Max 3K 2mL Strawberry Peach Mint,14.25,20.99,13.00,VAPE & CIGAR
,OVNS Max 3K 2mL Straw Peach Mint CTN6,OVNS Max 3K 2mL Strawberry Peach Mint - carton of 6,85.50,125.94,13.00,VAPE & CIGAR
,OVNS Max 3K 2mL White Grape Ice,OVNS Max 3K 2mL White Grape Ice,14.25,20.99,13.00,VAPE & CIGAR
,OVNS Max 3K 2mL White Grape Ice CTN6,OVNS Max 3K 2mL White Grape Ice - carton of 6,85.50,125.94,13.00,VAPE & CIGAR
,OVNS O2 2500 2mL,OVNS O2 2500 2mL,10.25,14.99,13.00,VAPE & CIGAR
,OVNS O2 2500 2mL CTN10,OVNS O2 2500 2mL - carton of 10,102.50,149.90,13.00,VAPE & CIGAR
,STLTH 2% Pack (3 pods) Berry Blast,STLTH 2% Pack (3 pods) Berry Blast,14.22,20.99,13.00,VAPE & CIGAR
,STLTH 2% Pack (3 pods) Double Mint,STLTH 2% Pack (3 pods) Double Mint,14.22,20.99,13.00,VAPE & CIGAR
,STLTH 2% Pack (3 pods) Frost Mint,STLTH 2% Pack (3 pods) Frost Mint,14.22,20.99,13.00,VAPE & CIGAR
,STLTH 2% Pack (3 pods) Honeydew Menthol,STLTH 2% Pack (3 pods) Honeydew Menthol,14.22,20.99,13.00,VAPE & CIGAR
,STLTH 2% Pack (3 pods) Peach,STLTH 2% Pack (3 pods) Peach,14.22,20.99,13.00,VAPE & CIGAR
,STLTH 2% Pack (3 pods) Tobacco Blend,STLTH 2% Pack (3 pods) Tobacco Blend,14.22,20.99,13.00,VAPE & CIGAR
,STLTH ECO 6mL Cherry Lemon Ice,STLTH ECO 6mL Cherry Lemon Ice,13.47,19.99,13.00,VAPE & CIGAR
,STLTH ECO 6mL Cherry Lemon Ice CTN6,STLTH ECO 6mL Cherry Lemon Ice - carton of 6,80.82,119.94,13.00,VAPE & CIGAR
,STLTH ECO 6mL Juicy Peach,STLTH ECO 6mL Juicy Peach,13.47,19.99,13.00,VAPE & CIGAR
,STLTH ECO 6mL Juicy Peach CTN6,STLTH ECO 6mL Juicy Peach - carton of 6,80.82,119.94,13.00,VAPE & CIGAR
,STLTH ECO 6mL Peach Ice,STLTH ECO 6mL Peach Ice,13.47,19.99,13.00,VAPE & CIGAR
,STLTH ECO 6mL Peach Ice CTN6,STLTH ECO 6mL Peach Ice - carton of 6,80.82,119.94,13.00,VAPE & CIGAR
,STLTH ECO 6mL Polar Mint,STLTH ECO 6mL Polar Mint,13.47,19.99,13.00,VAPE & CIGAR
,STLTH ECO 6mL Polar Mint CTN6,STLTH ECO 6mL Polar Mint - carton of 6,80.82,119.94,13.00,VAPE & CIGAR
,STLTH ECO 6mL Razz Apple Ice,STLTH ECO 6mL Razz Apple Ice,13.47,19.99,13.00,VAPE & CIGAR
,STLTH ECO 6mL Razz Apple Ice CTN6,STLTH ECO 6mL Razz Apple Ice - carton of 6,80.82,119.94,13.00,VAPE & CIGAR
,STLTH ECO 6mL Razzy Grape Ice,STLTH ECO 6mL Razzy Grape Ice,13.47,19.99,13.00,VAPE & CIGAR
,STLTH ECO 6mL Razzy Grape Ice CTN6,STLTH ECO 6mL Razzy Grape Ice - carton of 6,80.82,119.94,13.00,VAPE & CIGAR
,STLTH ECO 6mL Straw Banana,STLTH ECO 6mL Strawberry Banana,13.47,19.99,13.00,VAPE & CIGAR
,STLTH ECO 6mL Straw Banana CTN6,STLTH ECO 6mL Strawberry Banana - carton of 6,80.82,119.94,13.00,VAPE & CIGAR
,STLTH ECO 6mL Straw Kiwi Ice,STLTH ECO 6mL Strawberry Kiwi Ice,13.47,19.99,13.00,VAPE & CIGAR
,STLTH ECO 6mL Straw Kiwi Ice CTN6,STLTH ECO 6mL Strawberry Kiwi Ice - carton of 6,80.82,119.94,13.00,VAPE & CIGAR
,STLTH ECO MINI 2mL Blue Razz Ice,STLTH ECO MINI 2mL Blue Razz Ice,6.34,8.99,13.00,VAPE & CIGAR
,STLTH ECO MINI 2mL Blue Razz Ice CTN6,STLTH ECO MINI 2mL Blue Razz Ice - carton of 6,38.04,53.94,13.00,VAPE & CIGAR
691584144336,STLTH ECO MINI 2mL Green Apple,STLTH ECO MINI 2mL Green Apple,6.14,8.99,13.00,VAPE & CIGAR
,STLTH ECO MINI 2mL Green Apple CTN6,STLTH ECO MINI 2mL Green Apple - carton of 6,36.81,53.94,13.00,VAPE & CIGAR
691584144343,STLTH ECO MINI 2mL Juicy Peach,STLTH ECO MINI 2mL Juicy Peach,6.14,8.99,13.00,VAPE & CIGAR
,STLTH ECO MINI 2mL Juicy Peach CTN6,STLTH ECO MINI 2mL Juicy Peach - carton of 6,36.81,53.94,13.00,VAPE & CIGAR
691584144398,STLTH ECO MINI 2mL Razzy Grape Ice,STLTH ECO MINI 2mL Razzy Grape Ice,6.14,8.99,13.00,VAPE & CIGAR
