Barcode,Product Name,Category,Epos PriceExTax,Epos PriceIncTax,Correct PriceExTax,Correct PriceIncTax,Difference,Issue
5056594152323,Ven Dens Car Holder,Electronics - My top gift,26.99,30.50,12.99,14.68,14.00,price landed on the wrong product
5056594152354,Ven dens car holder,Electronics - My top gift,9.99,11.29,6.99,7.90,3.00,price landed on the wrong product
5056594115175,Ven Dens Car holder,Electronics - My top gift,19.99,22.59,15.99,18.07,4.00,price landed on the wrong product
5060674507460,Ven dens cable,Electronics - My top gift,11.99,13.55,12.99,14.68,-1.00,price landed on the wrong product
058496352776,TWIX,"CANDY,GUMS & CHOCOLATES",26.99,30.50,1.99,2.25,25.00,price landed on the wrong product
087692018551,Twisted tea pineapple,Beer,9.99,11.29,3.55,4.00,6.44,price landed on the wrong product
087692023425,Twisted Tea Part Pack,R.T.D.,7.99,9.03,29.99,33.89,-22.00,price landed on the wrong product
087692007470,Twisted tea original 473,Beer,6.00,6.78,3.59,4.04,2.41,price landed on the wrong product
087692024224,Twisted Tea Extreme Lemon,R.T.D.,1.99,2.25,3.55,4.00,-1.56,price landed on the wrong product
087692011248,Twisted Tea,DRINKS,29.99,33.89,3.99,4.51,26.00,price landed on the wrong product
848819001654,White Claw surge,R.T.D.,6.99,7.90,3.89,4.38,3.10,price landed on the wrong product
848819000947,white claw passion fruit,Beer,5.99,6.77,3.89,4.38,2.10,price landed on the wrong product
848819000015,White Claw Mango 473ML,Beer,3.99,4.51,3.59,4.04,0.40,price landed on the wrong product
848819000022,White claw lime 473ml,R.T.D.,2.99,3.38,3.59,4.04,-0.60,price landed on the wrong product
848819000008,White Claw Hard Seltzer Black Cherry 473,R.T.D.,3.89,4.40,3.59,4.04,0.30,price landed on the wrong product
848819000985,White Claw Blackberry 473ML,R.T.D.,3.89,4.40,3.59,4.04,0.30,price landed on the wrong product
058496433215,Whiskas Seafood 670g,PET FOOD,3.59,4.06,7.99,9.03,-4.40,price landed on the wrong product
063252385554,Wellson painters tape,GROCERY,3.59,4.06,2.99,3.38,0.60,price landed on the wrong product
063252385462,Wellson insulation tape,GROCERY,3.59,4.06,2.99,3.38,0.60,price landed on the wrong product
063252385387,Wellson duct tape,GROCERY,3.59,4.06,2.99,3.38,0.60,price landed on the wrong product
061536012721,WD-40,GROCERY,7.99,9.03,9.99,11.29,-2.00,price landed on the wrong product
698931001427,Wild pard shoe polish,GROCERY,3.29,3.72,3.99,4.51,-0.70,price landed on the wrong product
059300063345,Vogue,TOBACCO,2.99,3.38,18.58,21.00,-15.59,price landed on the wrong product
898999000022,Vita coconut waster 330ml,DRINKS,2.99,3.38,2.49,2.81,0.50,price landed on the wrong product
059200807704,WINDEX ORIGINAL,HEALTH & BEAUTY,1.99,2.25,6.99,7.90,-5.00,price landed on the wrong product
060100037641,LD BOLD KS 25,TOBACCO,12.17,13.75,14.82,16.75,-2.65,price landed on the wrong product
060410047040,LAYS WAVY ORIGINAL 235G,CHIPS & SNACKS,3.00,3.39,5.39,6.09,-2.39,price landed on the wrong product
041689301224,ZIPPO FLUID 355ML,HEALTH & BEAUTY,13.55,15.31,11.99,13.55,1.56,price landed on the wrong product
041689200657,Zippo Flints,VAPE & CIGAR,3.01,3.40,2.66,3.01,0.35,price landed on the wrong product
008660100306,Zigzag Green,VAPE & CIGAR,3.01,3.40,2.66,3.01,0.35,price landed on the wrong product
008660100108,ZIG ZAG WHITE,TOBACCO,3.50,3.96,3.10,3.50,0.40,price landed on the wrong product
008660100405,ZIG ZAG SILVER,TOBACCO,11.99,13.55,3.10,3.50,8.89,price landed on the wrong product
829515324629,ZESTY RANCH,CHIPS,2.66,3.01,4.99,5.64,-2.33,price landed on the wrong product
839743000028,Yellowtail chardonnay,Wine,3.10,3.50,15.06,16.99,-11.96,price landed on the wrong product
621139639024,Xtricity light bulb clear 60 watts,HEALTH & BEAUTY,3.10,3.50,2.99,3.38,0.11,price landed on the wrong product
877318001353,Xlite lighter,LIGHTER,2.66,3.01,1.99,2.25,0.67,price landed on the wrong product
877318100063,X-LITE,VAPE & CIGAR,4.99,5.64,2.66,3.01,2.33,price landed on the wrong product
064900409677,WRIGLEYS DOUBLE MINT,"CANDY,GUMS & CHOCOLATES",15.06,17.02,3.29,3.72,11.77,price landed on the wrong product
8901063136250,Little Hearts,SNACK,30.00,33.90,1.99,2.25,28.01,price landed on the wrong product
04138891,Lip Medex,HEALTH & BEAUTY,50.00,56.50,3.99,4.51,46.01,price landed on the wrong product
062823450493,LETS PARTY 24,HEALTH & BEAUTY,1.99,2.25,2.49,2.81,-0.50,price landed on the wrong product
061541046056,Lesalon nail clipper,HEALTH & BEAUTY,3.99,4.51,2.99,3.38,1.00,price landed on the wrong product
061541478116,Lesalon Cosmetic pads,HEALTH & BEAUTY,2.49,2.81,2.25,2.54,0.24,price landed on the wrong product
060100038600,LD Standard Bold KS 20,TOBACCO,2.99,3.38,12.17,13.75,-9.18,price landed on the wrong product
060100038631,LD STANDARD BOLD,TOBACCO,2.25,2.54,14.82,16.75,-12.57,price landed on the wrong product
060100038037,LD SMOOTH KS 25,TOBACCO,12.17,13.75,14.82,16.75,-2.65,price landed on the wrong product
060100037795,LD MEDIUM KS 20,TOBACCO,14.82,16.75,12.17,13.75,2.65,price landed on the wrong product
3057068029709,OCB Regular,GENERAL ITEMS,2.59,2.93,2.99,3.38,-0.40,price landed on the wrong product
30052765,"OCB premium Black1 1/4""",VAPE & CIGAR,4.99,5.64,1.77,2.00,3.22,price landed on the wrong product
30065505,OCB KS,TOBACCO,7.89,8.92,2.50,2.83,5.39,price landed on the wrong product
067311241218,Oasis Red Grape,GROCERY,5.99,6.77,1.77,2.00,4.22,price landed on the wrong product
067311020110,OASIS ORANGE 300 ML,DRINKS,2.99,3.38,1.77,2.00,1.22,price landed on the wrong product
628055589181,nutrl lemon 473 ml,R.T.D.,1.77,2.00,3.59,4.04,-1.82,price landed on the wrong product
062067392771,Nutrl Grape,R.T.D.,2.50,2.83,3.59,4.04,-1.09,price landed on the wrong product
062067423697,Nutrl Blackberry,R.T.D.,1.77,2.00,3.89,4.38,-2.12,price landed on the wrong product
062020050526,Nutella Bread Sticks,"CANDY,GUMS & CHOCOLATES",1.77,2.00,3.49,3.94,-1.72,price landed on the wrong product
813107000022,Noorani Hanna,HEALTH & BEAUTY,3.59,4.06,5.99,6.77,-2.40,price landed on the wrong product
813107000015,Noorani Hanna,HEALTH & BEAUTY,3.59,4.06,5.99,6.77,-2.40,price landed on the wrong product
