InvoiceInfo|CustID|int|4|1|15
InvoiceInfo|LoyaltyMemberID|int|4|1|16
InvoiceInfo|LP|int|4|1|17
InvoiceInfo|LotoAmt|decimal|9|1|18
InvoiceInfo|OrderNo|int|4|1|19
InvoiceInfo|BillNote|nvarchar|-1|1|20
InvoiceInfo|CName|nchar|200|1|21
InvoiceInfo|CN|nchar|100|1|22
InvoiceInfo|EmailID|nchar|300|1|23
InvoiceInfo|RoundOff|decimal|9|1|24
InvoiceInfo|UID|nchar|200|1|25
InvoiceInfo|AddressX|nvarchar|500|1|26
InvoiceInfo|SFPer|decimal|9|1|27
InvoiceInfo|SF|decimal|9|1|28
InvoiceInfo|DateTimeX|datetime|8|1|29
InvoiceInfo|ApprovalCode|nchar|60|1|30
InvoiceInfo|CardNo|nchar|60|1|31
InvoiceInfo|CardHolder|nchar|200|1|32
InvoiceInfo|CardType|nchar|60|1|33
InvoiceInfo|EntryType|nchar|60|1|34
InvoiceInfo|RefNo|nchar|60|1|35
InvoiceInfo|ISOCode|nchar|40|1|36
InvoiceInfo|AL|nchar|60|1|37
InvoiceInfo|TransKey|nchar|60|1|38
InvoiceInfo|GiftCardID|nchar|40|1|39
InvoiceInfo|GiftCardAmount|decimal|9|1|40
Journal|ID|int|4|0|1
Journal|DebitAccount|nchar|400|1|2
Journal|CreditAccount|nchar|400|1|3
Journal|Date|datetime|8|1|4
Journal|Amount|decimal|9|1|5
Journal|Remarks|nvarchar|-1|1|6
LedgerBook|Id|int|4|0|1
LedgerBook|Date|datetime|8|0|2
LedgerBook|Name|nchar|400|0|3
LedgerBook|AccLedger|nchar|400|1|4
LedgerBook|LedgerNo|nchar|400|0|5
LedgerBook|Label|nchar|400|0|6
LedgerBook|Debit|decimal|9|0|7
LedgerBook|Credit|decimal|9|0|8
LedgerBook|PartyID|nchar|100|1|9
Logs|Id|int|4|0|1
Logs|UserID|nchar|200|0|2
Logs|Operation|nvarchar|500|0|3
Logs|Date|datetime|8|0|4
LotoIn|Id|int|4|0|1
LotoIn|Date|datetime|8|1|2
LotoIn|Amount|decimal|9|1|3
LotoIn|Remarks|nchar|500|1|4
LotoOut|Id|int|4|0|1
LotoOut|Date|datetime|8|1|2
LotoOut|Amount|decimal|9|1|3
LotoOut|Remarks|nchar|500|1|4
LotoOut|CustomerName|nchar|300|1|5
LotoOut|ContactNo|nchar|200|1|6
LoyaltyMember|MemberID|int|4|0|1
LoyaltyMember|Name|nchar|400|1|2
LoyaltyMember|CardNo|nchar|100|1|3
LoyaltyMember|ContactNo|nchar|100|1|4
LoyaltyMember|Address|nvarchar|-1|1|5
LoyaltyMember|RegistrationDate|datetime|8|1|6
LoyaltyMember|Active|nchar|20|1|7
LoyaltyMemberLedgerBook|Id|int|4|0|1
LoyaltyMemberLedgerBook|Date|datetime|8|0|2
LoyaltyMemberLedgerBook|LedgerNo|nchar|100|0|3
LoyaltyMemberLedgerBook|Label|nchar|400|0|4
