Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
airheads sour,airheads sour,0.00,0.75,13.00,"CANDY,GUMS & CHOCOLATES"
BABY DIPPER SOUR  38G,BABY DIPPER SOUR  38G,1.50,2.81,13.00,"CANDY,GUMS & CHOCOLATES"
CADBURY CARAMILK,CADBURY CARAMILK,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
CADBURY CRUNCHIE,CADBURY CRUNCHIE,0.00,2.25,13.00,"CANDY,GUMS & CHOCOLATES"
Caramilk,Caramilk,0.00,2.25,13.00,"CANDY,GUMS & CHOCOLATES"
CRY BABY,CRY BABY,0.54,2.00,13.00,"CANDY,GUMS & CHOCOLATES"
Cry Baby Assorted Gum Balls 36g,Cry Baby Assorted Gum Balls 36g,0.00,1.75,13.00,"CANDY,GUMS & CHOCOLATES"
Dairy Milk 38g,Dairy Milk 38g,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
DAIRY MILK FRUIT & NUT 38GM,DAIRY MILK FRUIT & NUT 38GM,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
Dentyne Ice,Dentyne Ice,0.00,2.25,13.00,"CANDY,GUMS & CHOCOLATES"
DENTYNE ICE SPEARMINT 12 PCS,DENTYNE ICE SPEARMINT 12 PCS,1.00,2.25,13.00,"CANDY,GUMS & CHOCOLATES"
Double Bubble,Double Bubble,0.00,0.28,13.00,"CANDY,GUMS & CHOCOLATES"
Double Bubble Gum Balls 36g,Double Bubble Gum Balls 36g,0.00,1.75,13.00,"CANDY,GUMS & CHOCOLATES"
DUBBLE BUBBLR 6PCS,DUBBLE BUBBLR 6PCS,0.54,2.00,13.00,"CANDY,GUMS & CHOCOLATES"
EXCEL,EXCEL,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
Excel spearmint 12 pc singkles,Excel spearmint 12 pc singkles,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
excel white bubble gum gum,excel white bubble gum gum,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
FERRERO ROCHER,FERRERO ROCHER,0.00,3.24,13.00,"CANDY,GUMS & CHOCOLATES"
Fishermans Friend,Fishermans Friend,0.00,3.96,13.00,"CANDY,GUMS & CHOCOLATES"
Halls cherry flavour sugarfree,Halls cherry flavour sugarfree,0.00,2.54,13.00,"CANDY,GUMS & CHOCOLATES"
HALLS EXTRA FORT,HALLS EXTRA FORT,0.00,2.54,13.00,"CANDY,GUMS & CHOCOLATES"
halls honey lemon,halls honey lemon,0.00,2.54,13.00,"CANDY,GUMS & CHOCOLATES"
halls regular,halls regular,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
halls vitamin c citrus,halls vitamin c citrus,0.00,2.54,13.00,"CANDY,GUMS & CHOCOLATES"
HERSHEYS COOKIES & CRACKERS N CREME S,HERSHEYS COOKIES & CRACKERS N CREME S,0.00,3.24,13.00,"CANDY,GUMS & CHOCOLATES"
"HERSHEYS MILK CANDY,GUMS & CHOCOLATES","HERSHEYS MILK CANDY,GUMS & CHOCOLATES",0.00,3.24,13.00,"CANDY,GUMS & CHOCOLATES"
HUBBA BUBBA MX ORI,HUBBA BUBBA MX ORI,0.00,2.81,13.00,"CANDY,GUMS & CHOCOLATES"
"Huer CANDY,GUMS & CHOCOLATES Cup Gummy 1","Huer CANDY,GUMS & CHOCOLATES Cup Gummy 165g",0.00,4.51,13.00,"CANDY,GUMS & CHOCOLATES"
ice vbreakers berry splash,ice vbreakers berry splash,0.00,3.94,13.00,"CANDY,GUMS & CHOCOLATES"
JACK LIKS PEPPRONI 22G,JACK LIKS PEPPRONI 22G,0.00,1.50,13.00,"CANDY,GUMS & CHOCOLATES"
